App,Category,Rating,Reviews,Size(Megabyte),Installs+,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Weill Cornell Medicine,21,1.579486441022754,0.0,2.995732273553991,50,1,0.0,1,72,2018-07-16,1.0.10,25
Doctors Care,21,1.5777031837426834,0.0,3.258096538021482,10,1,0.0,1,72,2018-07-24,2.0.0 (35717),20
PCOS Guide - Fight PCOS naturally,21,1.5793532817188207,0.0,1.8082887711792655,100,1,0.0,1,72,2018-08-04,1.0,25
EVA - Menstrual calendar and fertility,21,1.600710451803513,3.258096538021482,2.833213344056216,1000,1,0.0,1,72,2018-08-02,1.1,17
Hello Face,21,1.577440578784053,0.0,0.9162907318741551,10,1,0.0,1,72,2018-07-31,1.0,20
Diabetes Testing,21,1.5768236136345009,0.6931471805599453,1.5260563034950494,500,1,0.0,3,72,2018-07-26,1.0,15
GGDE: Prevent & Beat Depression Symptoms,21,1.5832822198443561,1.0986122886681096,3.044522437723423,50,1,0.0,1,72,2018-07-24,2.01.12,13
Jaylex,21,1.5769086941134174,0.0,2.639057329615259,10,1,0.0,1,72,2018-07-30,1.2.3-DEBUG,18
Clinical Pharmacology,21,1.5764213486572158,0.0,1.5260563034950494,10,1,0.0,1,72,2018-08-01,1.0,17
Smartshading AI,21,1.5765191147639808,0.0,2.3978952727983707,10,1,0.0,1,72,2018-06-21,1.0,17
Eversense,21,1.5879344134438627,1.3862943611198906,2.8903717578961645,100,1,0.0,1,72,2018-07-18,2.0.101,20
Drug Calculator,21,1.5775310152159878,0.0,1.7227665977411035,10,1,0.0,1,72,2018-07-27,1.0,20
HACH Cares,21,1.5759027492805495,0.0,3.367295829986474,10,1,0.0,1,72,2018-07-25,300000.1.11,15
WAH 247,21,1.5759065512857464,0.0,3.4011973816621555,1,1,0.0,1,72,2018-07-20,300000.1.11,15
ear super hearing,21,1.5748982495318953,0.0,0.8754687373538999,5,1,0.0,1,72,2018-07-31,1.0 Super Ear Hearing,13
Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,21,1.580223938550811,0.6931471805599453,2.5649493574615367,10,1,0.0,1,72,2018-07-21,1.0.0,13
COPD GOLD 2017,21,1.5882074831349482,1.791759469228055,1.1631508098056809,10,1,0.0,1,72,2018-07-13,1.0,13
Summit Medical Video Visits,21,1.5766238861493727,0.0,3.332204510175204,10,1,0.0,1,72,2018-07-12,1.1.1,17
ExtendedCare Virtual Care Room,21,1.5798432268699054,0.0,2.9444389791664403,5,1,0.0,1,72,2018-07-30,1.0,26
Lord Fairfax EMS Council,21,1.5759102263062592,0.0,3.4339872044851463,50,1,0.0,1,72,2018-07-17,1,15
MyWoundDoctor - Provider,21,1.5793191720799202,0.0,1.5040773967762742,1,1,0.0,1,72,2018-07-27,1.2.1,25
Warfarin Dose Calculator,21,1.5764819919066284,0.0,2.066862759472976,50,1,0.0,1,72,2018-07-15,3.0.0,17
Renesas PMA,21,1.577565260243122,0.0,2.028148247292285,5,1,0.0,1,72,2018-07-18,1.2.9,20
4 Paws PH,21,1.5810427856993314,0.6931471805599453,3.4011973816621555,5,1,0.0,1,72,2018-07-25,300000.1.11,15
high cholesterol levels,21,1.5764137823434745,0.0,1.4586150226995167,100,1,0.0,1,72,2018-07-23,1.0,17
Thyroid Nodules,21,1.5773166980460855,0.0,3.044522437723423,10,1,0.0,1,72,2018-07-14,1.0,19
Training course: Learn Nursing,21,1.5764834004654833,0.0,2.0794415416798357,100,1,0.0,1,72,2018-07-08,1.0.0,17
14thStreetVet,21,1.5759065511258945,0.0,3.4011973816621555,5,1,0.0,1,72,2018-07-16,300000.1.11,15
OMD Protocols,21,1.5819805414756865,0.0,2.606453123041996,10,1,0.0,1,72,2018-07-27,1.0,32
Penn State Health OnDemand,21,1.5759415783385176,0.0,3.713572066704308,50,1,0.0,1,72,2018-07-24,10.4.1.018_06,15
HHS,21,1.574987069588487,0.0,1.667706820558076,500,1,0.0,1,72,2017-05-30,Initial,13
Free Blood Pressure,21,1.591146950587968,2.0794415416798357,1.9021075263969205,5000,1,0.0,1,72,2016-10-13,3.0.0,15
Every disease has a drug without internet,21,1.6046377454031484,3.8066624897703196,1.6094379124341003,10000,1,0.0,1,72,2018-04-24,1.0,17
Blood Pressure,21,1.5908930405695105,2.3978952727983707,1.2237754316221157,1000,1,0.0,1,72,2015-03-14,1.0,8
RT 516 VET,21,1.5759065509260795,0.0,3.4011973816621555,10,1,0.0,1,72,2018-07-13,300000.1.11,15
Breastfeeding Tracker Baby Log,21,1.5939261175740413,1.9459101490553132,3.1780538303479458,100,1,0.0,1,72,2018-07-20,1.3.5,25
PatientPORTAL by InteliChart,21,1.584678813453537,0.6931471805599453,3.4965075614664802,500,1,0.0,1,72,2018-05-24,1.0.1,25
Android TV Remote Service,30,1.5789743220792876,0.6931471805599453,1.547562508716013,1000000,1,0.0,1,109,2018-01-17,2.1.02.4477839,29
SD card backup,30,1.611819215773003,4.962844630259907,2.606453123041996,1000000,1,0.0,1,109,2017-03-27,Varies with device,32
Zoo For Preschool Kids 3-9 Years,23,1.6058651090057126,4.343805421853684,2.2192034840549946,10000,1,0.0,1,79,2018-04-24,1.0.7,13
Arabic Alphabets,23,1.5980839737658428,3.5553480614894135,1.9740810260220096,10000,1,0.0,1,77,2017-01-09,1.0,7
Learn the letters and words,23,1.6003343122275129,3.4657359027997265,4.454347296253507,10000,1,0.0,1,79,2018-06-15,3.2,15
Ali Baba's Farm Tutorial Kids Games,23,1.602109837633634,3.6109179126442243,1.8718021769015913,5000,1,0.0,1,77,2018-05-27,4.7,17
Learning English for children,23,1.6031918374758525,4.219507705176107,2.772588722239781,50000,1,0.0,1,79,2018-04-18,1.9,8
We learn children's verses in kindergarten,23,1.633569099545683,8.0861025356691,2.0149030205422647,100000,1,0.0,1,79,2017-12-20,2.10,13
Educational Children's Songs,23,1.612663338735955,5.099866427824199,4.0943445622221,100000,1,0.0,1,77,2018-08-05,1.2,15
Favorite Soviet cartoons,23,1.6047090663827226,4.1588830833596715,1.7749523509116738,10000,1,0.0,1,77,2018-05-24,1.0.6,13
How do I care about my child?,23,1.6002368597106766,3.5553480614894135,1.7749523509116738,10000,1,0.0,1,77,2018-07-03,1.2,13
Voice Tables - no internet,23,1.625862208606978,6.878326468291325,4.276666119016055,100000,1,0.0,1,77,2018-05-28,2.0,15
Video Wallpaper Show,32,1.5676858410401613,0.0,2.639057329615259,500,1,0.0,1,115,2018-07-26,3.1,15
B-17 Flying Fortress WWII LWP,24,1.6269485225991547,2.0794415416798357,2.70805020110221,100,2,1.49,1,81,2016-12-22,1.0,17
CURSUM B,15,1.6348491403794219,3.4339872044851463,3.295836866004329,500,2,0.99,1,89,2017-06-20,1.0.0,8
F,30,1.5825221874492474,1.9459101490553132,1.7749523509116738,500,1,0.0,1,109,2018-05-15,1.0.2,13
Norwegian For Kids & Babies F,12,1.6102017829693915,0.0,2.70805020110221,5,2,39.99,1,39,2015-09-24,1.0,13
F-1 watchface by Delta,24,1.616755701371211,0.0,2.606453123041996,10,2,2.49,1,81,2017-08-23,Varies with device,32
F Length Sim (no Ads),25,1.6101594763701763,0.0,0.9932517730102834,10,2,2.0,1,82,2018-04-29,1.0,15
G-NetReport Pro,30,1.5996918273535488,0.0,0.9555114450274365,10,2,25.99,1,109,2018-06-14,5.0,13
H letter images,28,1.5856569277403656,2.8903717578961645,2.2512917986064953,1000,1,0.0,4,102,2018-06-28,16.7,15
D+H Reaction Wall,15,1.6289850017111398,0.0,2.606453123041996,1,2,0.99,1,6,2016-07-24,Varies with device,32
The J-Notes: Jazz News,29,1.5840098776737124,2.0794415416798357,2.1041341542702074,1000,1,0.0,2,103,2018-02-28,5.2.2,17
J Alvarej Moji,7,1.6274948143375791,1.0986122886681096,2.639057329615259,10,2,1.99,1,36,2017-05-03,1.0,12
J Balvin Piano Tiles,15,1.5922632616771555,1.9459101490553132,3.4339872044851463,500,1,0.0,1,73,2018-05-15,2.0,17
Guess the song of J Balvin,15,1.5973866787155344,3.367295829986474,2.2925347571405443,1000,1,0.0,1,113,2017-12-24,1.1,17
J. Polep Plus Mobile,26,1.577007771499763,0.0,3.8066624897703196,100,1,0.0,1,83,2018-03-26,1.1.4,25
BTS J-Hope Wallpaper HD for KPOP Fans,24,1.5850385269213367,1.6094379124341003,1.5260563034950494,500,1,0.0,1,81,2018-07-26,2.1.4,13
Speech Therapy: K,12,1.5881695798389865,1.0986122886681096,2.772588722239781,1000,1,0.0,1,39,2016-10-07,1.0,9
Mermaid Princess Pre K Games,12,1.6037528416550482,2.995732273553991,3.4657359027997265,5000,1,0.0,1,50,2018-06-29,3.01,17
K-App Mitarbeiter Galeria Kaufhof,26,1.575104155735919,0.0,2.995732273553991,100,1,0.0,1,83,2018-07-10,3.27.1,20
Wallpapers Bus Scania Irizar K,24,1.5923424498690069,3.58351893845611,2.772588722239781,10000,1,0.0,4,81,2016-04-21,1.0,9
Obbligo o VeritÃ ? PRO,15,1.6255939533302712,1.6094379124341003,1.3609765531356006,100,2,0.99,4,15,2018-04-26,"1,01",10
Android P Home KLWP,24,1.6142633085514866,0.0,1.1314021114911006,5,2,1.49,1,81,2018-04-14,v2018.Apr.12.16,25
Pacify Exceed (Android P) - Theme for Xperiaâ¢,24,1.6282578754270234,1.791759469228055,1.0647107369924282,10,2,1.49,1,81,2018-07-02,1.2.A.Exceed.Paid,27
Pistachio Launcher for Android P 9.0,24,1.611370031877472,0.0,1.1939224684724346,1,2,1.49,1,81,2018-07-11,1.0.2,17
Pacify (Android P theme) - Theme for Xperiaâ¢,24,1.6194935130992114,0.6931471805599453,1.0296194171811583,10,2,0.99,1,81,2018-07-15,1.0.B+.Exceed.Paid,25
Popsicle Launcher for Android P 9.0 launcher,24,1.6118085838249436,0.0,1.8718021769015913,0,2,1.49,1,81,2018-07-11,1.1,18
Pureness Pacify (Android P) - Theme for Xperiaâ¢,24,1.6150326362977934,0.0,1.5260563034950494,1,2,1.49,1,81,2018-07-23,1.2.A.Exceed.Paid,27
Theme for New Android P,24,1.5926838919436777,2.639057329615259,1.667706820558076,1000,1,0.0,1,81,2018-05-23,1.1.4,13
P XPERIA Themeâ¢ | PURPLE - Design For SONY ð¨,24,1.5860475899634325,1.3862943611198906,2.639057329615259,500,1,0.0,1,81,2018-06-05,1.0.0,20
P XPERIA Themeâ¢ | INDIGO - Design For SONY ð¨,24,1.5947891639613516,2.5649493574615367,2.70805020110221,1000,1,0.0,1,81,2018-06-05,1.0.0,20
P Icon Pack,12,1.6174733994840025,0.0,3.091042453358316,10,2,0.99,1,52,2018-07-16,1.0.6,15
Q Actions - Digital Assistant,26,1.5794109184359884,0.0,2.606453123041996,500,1,0.0,1,83,2018-07-20,Varies with device,32
Q Call,30,1.5907815777245518,3.044522437723423,2.833213344056216,1000,1,0.0,1,109,2018-07-16,2.100,13
R Programming,12,1.590250480195441,1.0986122886681096,1.9315214116032138,1000,1,0.0,1,39,2017-11-21,1.0,15
Learn R Programming Full,4,1.608620209146486,2.4849066497880004,2.322387720290225,5000,1,0.0,1,19,2018-01-30,1.5,25
R Programming Tutorial,12,1.595319822287838,1.791759469228055,1.33500106673234,1000,1,0.0,1,39,2017-05-14,1.0,15
Guide for R Programming,4,1.587220025494424,0.0,1.547562508716013,5,1,0.0,1,19,2018-05-25,1.0.0,17
Learn R Programming,4,1.5874278878372026,0.0,3.4011973816621555,10,1,0.0,1,19,2018-04-28,1.0,17
R Quick Reference Big Data,4,1.598373983787712,1.9459101490553132,1.5260563034950494,1000,1,0.0,1,19,2017-05-29,1.2,8
Learn R Programming Free EBook,12,1.5865176431990906,0.6931471805599453,1.9021075263969205,50,1,0.0,1,39,2018-03-23,1.0.0,13
RMEduS - ìì±ì¸ìì íì©í R íë¡ê·¸ëë° ì¤ìµ ìì¤í,12,1.5960999381637186,1.6094379124341003,4.174387269895637,1,1,0.0,1,39,2018-07-17,1.0.1,20
R Programming Language (Paperset 2) MCQ Quiz,12,1.5820593278754798,0.0,1.4816045409242156,10,1,0.0,1,39,2018-03-19,1.0,15
Mat|r viewer,26,1.5902354756549761,1.791759469228055,3.367295829986474,100,1,0.0,1,83,2018-07-27,1.0.5,25
Tutorials for R Programming Offline,12,1.5894979407506307,1.0986122886681096,1.6863989535702286,500,1,0.0,1,39,2017-12-04,1.0,13
R Programming Language (Paperset 1) MCQ Quiz,12,1.5871955624489167,0.6931471805599453,1.4816045409242156,10,1,0.0,1,39,2018-03-19,1.0,15
FORD V SERIES CALC - NO LIMIT,2,1.6303533100845973,1.0986122886681096,2.8903717578961645,50,2,9.99,1,13,2018-06-25,3.0.0,13
iLauncher OS 12 Pro - Phone X,24,1.6214572046191793,1.3862943611198906,2.3608540011180215,50,2,2.99,1,81,2018-06-24,1.0.1,17
Cardio Z,21,1.637354752291747,3.2188758248682006,2.3978952727983707,100,2,5.99,1,72,2017-03-13,1.0.2.1,20
Z PIVOT,7,1.617652831982301,0.0,1.9021075263969205,10,2,19.99,1,36,2018-07-11,1.3,18
AB Anywhere Mobile Banking,13,1.5911289201999705,1.3862943611198906,2.4849066497880004,500,1,0.0,1,61,2018-07-03,4.17.82,20
Best Blood Type AB: Food Diet & Personality,19,1.5871805194155784,1.3862943611198906,3.6375861597263857,1000,1,0.0,1,68,2018-07-11,1.2,15
Chatime AB Rewards,12,1.5986782173451952,2.302585092994046,3.1354942159291497,1000,1,0.0,1,52,2018-06-22,2.7.0621,18
Dashboard AE,2,1.5922068665526177,0.0,2.639057329615259,10,1,0.0,1,13,2018-05-16,1255162018,27
AE Manager,30,1.5688094815306661,0.0,1.6094379124341003,100,1,0.0,1,109,2015-06-15,1.0.0,15
Ivanti AE Agent,5,1.5909906831507479,0.6931471805599453,1.3609765531356006,1000,1,0.0,1,22,2018-05-10,11.0.0,15
Toppen af Danmark,31,1.5864552504279543,2.1972245773362196,1.9600947840472698,5000,1,0.0,1,111,2018-06-28,8.3.0,20
AF-STROKE,21,1.615339040744148,1.791759469228055,0.6317287867586178,100,2,5.0,4,72,2013-12-19,1.3,5
i-share AF/KLM (AFKL ishare),28,1.5732999228634696,1.0986122886681096,3.9889840465642745,100,1,0.0,4,102,2018-07-21,1.16.5,17
AF Legendary 2017,5,1.5806922764035358,0.0,2.4849066497880004,50,1,0.0,4,22,2017-09-30,v2.7.11.6,17
AzadBazar.af,27,1.5806046452864895,1.3862943611198906,1.547562508716013,100,1,0.0,1,97,2018-03-09,1.0,13
